   RELATÓRIO DE EXTRAÇÃO


  tema   /   frase   /   repetições   /   sentença (texto original)
  dia  /  126 ato apóstolo escrever primeiro livro ó teófilo relatar todo coisa jesus começar ensinar dia haver dado mandamento intermédio espírito santo apóstolo escolher elevado altura  /  1  /  126 atos dos apóstolos escrevi o primeiro livro , ó teófilo , relatando todas as coisas que jesus começou a fazer e a ensinar até ao dia em que , depois de haver dado mandamentos por intermédio do espírito santo aos apóstolos que escolhera , foi elevado às alturas
  dia  /  morto sim carne vivificar espírito pregar espírito prisão em+outro tempo desobediente longanimidade deus aguardar dia noé enquanto preparar arca pouco saber oito pessoa salvo através água figurar batismo agora salvo remoção imundícia carne indagação bom consciência deus meio ressurreição jesus cristo  /  4  /  morto , sim , na carne , mas vivificado no espírito , no qual também foi e pregou aos espíritos em prisão , os quais , noutro tempo , foram desobedientes quando a longanimidade de deus aguardava nos dias de noé , enquanto se preparava a arca , na qual poucos , a saber , oito pessoas , foram salvos , através da água , a qual , figurando o batismo , agora também vos salva , não sendo a remoção da imundícia da carne , mas a indagação de uma boa consciência para com deus , por meio da ressurreição de jesus cristo
  dia  /  homem observar claramente durante visão cerca hora nono dia anjo deus aproximar dizer  /  1  /  esse homem observou claramente durante uma visão , cerca da hora nona do dia , um anjo de deus que se aproximou dele e lhe disse
  dia  /  verdade dizer menos rigor haver sodoma gomorra dia juízo cidade  /  2  /  em verdade vos digo que menos rigor haverá para sodoma e gomorra , no dia do juízo , do que para aquela cidade
  dia  /  agora veio salvação poder reino deus autoridade cristo pois expulso acusador irmão acusar dia noite diante deus  /  1  /  agora , veio a salvação , o poder , o reino do nosso deus e a autoridade do seu cristo , pois foi expulso o acusador de nossos irmãos , o mesmo que os acusa de dia e de noite , diante do nosso deus
  dia  /  dizer hora diante beber fruto videiro dia haver beber novo comigo reino pai  /  1  /  e digo-vos que , desta hora em diante , não beberei deste fruto da videira , até aquele dia em que o hei de beber , novo , convosco no reino de meu pai
  dia  /  alcançar socorro deus permanecer dia hoje dar testemunho tanto pequeno grande nado dizer senão profeta moisés dizer haver acontecer cristo dever padecer primeiro ressurreição morto anunciar luz povo gentio  /  4  /  mas , alcançando socorro de deus , permaneço até ao dia de hoje , dando testemunho , tanto a pequenos como a grandes , nada dizendo , senão o que os profetas e moisés disseram haver de acontecer , isto é , que o cristo devia padecer e , sendo o primeiro da ressurreição dos mortos , anunciaria a luz ao povo e aos gentios
  haver  /  acontecer andar jesus cidade cidade aldeia aldeia pregar anunciar evangelho reino deus doze algum mulher haver curado espírito maligno enfermidade  /  1  /  aconteceu , depois disto , que andava jesus de cidade em cidade e de aldeia em aldeia , pregando e anunciando o evangelho do reino de deus , e os doze iam com ele , e também algumas mulheres que haviam sido curadas de espíritos malignos e de enfermidades
  haver  /  entregar cuidar haver falar porque hora concedido haver dizer visto vós falar espírito vosso pai fala vós  /  2  /  e , quando vos entregarem , não cuideis em como ou o que haveis de falar , porque , naquela hora , vos será concedido o que haveis de dizer , visto que não sois vós os que falais , mas o espírito de vosso pai é quem fala em vós
  haver  /  dizer hora diante beber fruto videiro dia haver beber novo comigo reino pai  /  2  /  e digo-vos que , desta hora em diante , não beberei deste fruto da videira , até aquele dia em que o hei de beber , novo , convosco no reino de meu pai
  haver  /  126 ato apóstolo escrever primeiro livro ó teófilo relatar todo coisa jesus começar ensinar dia haver dado mandamento intermédio espírito santo apóstolo escolher elevado altura  /  1  /  126 atos dos apóstolos escrevi o primeiro livro , ó teófilo , relatando todas as coisas que jesus começou a fazer e a ensinar até ao dia em que , depois de haver dado mandamentos por intermédio do espírito santo aos apóstolos que escolhera , foi elevado às alturas
  haver  /  alcançar socorro deus permanecer dia hoje dar testemunho tanto pequeno grande nado dizer senão profeta moisés dizer haver acontecer cristo dever padecer primeiro ressurreição morto anunciar luz povo gentio  /  6  /  mas , alcançando socorro de deus , permaneço até ao dia de hoje , dando testemunho , tanto a pequenos como a grandes , nada dizendo , senão o que os profetas e moisés disseram haver de acontecer , isto é , que o cristo devia padecer e , sendo o primeiro da ressurreição dos mortos , anunciaria a luz ao povo e aos gentios
