   RELATÓRIO DE EXTRAÇÃO


  tema   /   frase   /   repetições   /   sentença (texto original)
  filho  /  12 grande alto muro doze porta porta doze anjo nome escrito sobre nome doze tribo filho israel  /  1  /  12 e tinha um grande e alto muro com doze portas , e nas portas doze anjos , e nomes escritos sobre elas , que são os nomes das doze tribos dos filhos de israel
  filho  /  deuteronômio 30 1 sobrevir todo coisa bênção maldição pus diante ti recordar todo nação onde senhor deus haver lançado 2 converter senhor deus obedecer voz conforme tudo ordenar hoje filho todo coração todo almo 3 senhor deus voltar cativeiro compadecer ti tornar ajuntar todo povo haver espalhado senhor deus  /  2  /  deuteronômio 30 1 quando te sobrevierem todas estas coisas , a bênção ou a maldição , que pus diante de ti , e te recordares delas entre todas as nações para onde o senhor teu deus te houver lançado , 2 e te converteres ao senhor teu deus , e obedeceres à sua voz conforme tudo o que eu te ordeno hoje , tu e teus filhos , de todo o teu coração e de toda a tua alma , 3 o senhor teu deus te fará voltar do teu cativeiro , e se compadecerá de ti , e tornará a ajuntar-te dentre todos os povos entre os quais te houver espalhado o senhor teu deus
  filho  /  jeremias 28 1 suceder ano princípio reinado zedequias rei judá ano quarto mês quinto hananias filho azur profeta gibeão falar casa senhor presença sacerdote todo povo dizer  /  2  /  jeremias 28 1 e sucedeu no mesmo ano , no princípio do reinado de zedequias , rei de judá , no ano quarto , no mês quinto , que hananias , filho de azur , o profeta de gibeão , me falou , na casa do senhor , na presença dos sacerdotes e de todo o povo dizendo
  filho  /  filho arão sacerdote levita cair sorte tribo judá tribo simeão tribo benjamim treze cidade  /  1  /  e aos filhos de arão , o sacerdote , que eram dos levitas , caíram por sorte , da tribo de judá , da tribo de simeão e da tribo de benjamim , treze cidades
  filho  /  25 jeoás filho jeoacaz retomar mão ben-hadade filho hazael cidade haver tomado mão jeoacaz pai guerra  /  1  /  25 e jeoás , filho de jeoacaz , retomou das mãos de ben-hadade , filho de hazael , as cidades que este havia tomado das mãos de jeoacaz , seu pai , na guerra
  filho  /  7 assim suceder porque filho israel pecado contra senhor deus subir terra egito debaixo mãe faraó rei egito porque haver temido outro deus 8 andado segundo costume nação senhor lançar diante filho israel segundo rei israel introduzir  /  1  /  7 assim sucedeu , porque os filhos de israel tinham pecado contra o senhor seu deus que os fizera subir da terra do egito , de debaixo da mãe de faraó , rei do egito , e porque haviam temido a outros deuses , 8 e andado segundo os costumes das nações que o senhor lançara fora de diante dos filhos de israel , e segundo os que os reis de israel introduziram
  filho  /  crônico 27 1 ora filho israel segundo número chefe casa paterno chefe mil centena oficial servir rei todo negócio turma entrar sair mês mês todo mês ano cada turma vinte quatro mil  /  3  /  i crônicas 27 1 ora , os filhos de israel segundo o seu número , os chefes das casas paternas , e os chefes dos milhares e das centenas , com os seus oficiais , que serviam ao rei em todos os negócios das turmas que entravam e saíam de mês em mês , em todos os meses do ano , eram em cada turma vinte e quatro mil
  filho  /  35 sobre vós caiar todo sangue justo derramado sobre terra desde sangue abel justo sangue zacarias filho baraquias matar santuário altar  /  1  /  35 para que sobre vós caia todo o sangue justo , que foi derramado sobre a terra , desde o sangue de abel , o justo , até o sangue de zacarias , filho de baraquias , que mataste entre o santuário e o altar
  filho  /  10 designar lugar povo israel plantar ali habitar lugar perturbado nunca filho iniqüidade afligir dantes 11 desde dia ordenar haver juiz sobre povo israel  /  1  /  10 também designarei lugar para o meu povo , para israel , e o plantarei ali , para que ele habite no seu lugar , e não mais seja perturbado , e nunca mais os filhos da iniqüidade o aflijam , como dantes , 11 e como desde o dia em que ordenei que houvesse juízes sobre o meu povo israel
  filho  /  3 veio dia jeoiaquim filho josias rei judá fim ano undécimo zedequias filho josias rei judá jerusalém levado cativeiro quinto mês  /  1  /  3 e lhe veio também nos dias de jeoiaquim , filho de josias , rei de judá , até o fim do ano undécimo de zedequias , filho de josias , rei de judá , até que jerusalém foi levada em cativeiro no quinto mês
  filho  /  20 filho rúben primogênito israel geração família segundo casa pai conforme número nome cabeça cabeça todo homem vinte ano cima todo poder sair guerra 21 contado tribo rúben quarenta seis mil quinhentos  /  1  /  20 os filhos de rúben o primogênito de israel , as suas gerações , pelas suas famílias , segundo as casas de seus pais , conforme o número dos nomes , cabeça por cabeça , todo homem de vinte anos para cima , todos os que podiam sair à guerra , 21 os que foram contados deles , da tribo de rúben eram quarenta e seis mil e quinhentos
  filho  /  6 saber geração vindouro filho haver nascer levantar contar filho 7 fim pôr deus esperança esquecer obra deus guardar mandamento  /  1  /  6 para que as soubesse a geração vindoura , os filhos que houvesse de nascer , os quais se levantassem e as contassem a seus filhos , 7 a fim de que pusessem em deus a sua esperança , e não se esquecessem das obras de deus , mas guardassem os seus mandamentos
  filho  /  9 jurar gedalias filho aicão filho safã pôr homem dizer  /  1  /  9 e jurou gedalias , filho de aicão , filho de safã , eles e pôs seus homens , dizendo
  filho  /  espírito sobre ti palavra pus boca desviar boca boca filho boca filho filho dizer senhor desde agora todo sempre  /  3  /  o meu espírito , que está sobre ti , e as minhas palavras , que pus na tua boca , não se desviarão da tua boca , nem da boca dos teus filhos , nem da boca dos filhos dos teus filhos , diz o senhor , desde agora e para todo o sempre
  filho  /  28 resto povo sacerdote porteiro cantor netinins todo separado povo outro terra seguir lei deus mulher filho filho todo conhecimento entendimento 29 aderir irmão nobre convir juramento sob pena maldição andar lei deus dado intermédio moisés servo deus guardar cumprir todo mandamento senhor senhor juízo estatuto  /  6  /  28 e o resto do povo , os sacerdotes , os porteiros , os cantores , os netinins , e todos os que se tinham separado dos povos de outras terras para seguir a lei de deus , suas mulheres , seus filhos e suas filhas , todos os que tinham conhecimento e entendimento , 29 aderiram a seus irmãos , os seus nobres , e convieram num juramento sob pena de maldição de que andariam na lei de deus , a qual foi dada por intermédio de moisés , servo de deus , e de que guardariam e cumpririam todos os mandamentos do senhor , nosso senhor , e os seus juízos e os seus estatutos
  filho  /  porque andar caminho pai caminho mãe caminho jeroboão filho nebate israel pecar  /  1  /  porque andou no caminho de seu pai , como também no caminho de sua mãe , e no caminho de jeroboão , filho de nebate , que fez israel pecar
  filho  /  3 todo filho israel ver descer fogo glória senhor sobre casa prostrar rosto terra sobre pavimento adorar senhor dar graça dizer  /  1  /  3 e todos os filhos de israel , vendo descer o fogo , e a glória do senhor sobre a casa , prostraram-se com o rosto em terra sobre o pavimento , adoraram ao senhor e lhe deram graças , dizendo
  filho  /  13 filho israel enviar filho rúben filho gade meio tribo manassés terra gileade finéias filho eleazar sacerdote 14 dez príncipe príncipe cada casa paterno todo tribo israel  /  2  /  13 então os filhos de israel enviaram aos filhos de rúben aos filhos de gade e à meia tribo de manassés , à terra de gileade , finéias , filho de eleazar , o sacerdote , 14 e com ele dez príncipes , um príncipe de cada casa paterna de todas as tribos de israel
  filho  /  ageu ageu 1 1 segundo ano rei dario sexto mês primeiro dia mês veio palavra senhor intermédio profeta ageu zorobabel governador judá filho sealtiel josué sumo sacerdote filho jeozadaque dizer  /  1  /  ageu ageu 1 1 no segundo ano do rei dario , no sexto mês , no primeiro dia do mês , veio a palavra do senhor , por intermédio do profeta ageu , a zorobabel , governador de judá , filho de sealtiel , e a josué , o sumo sacerdote , filho de jeozadaque , dizendo
  filho  /  12 dever olhar prazer dia irmão dia desterro alegrar sobre filho judá dia ruína falar arrogantemente dia tribulação  /  1  /  12 mas tu não devias olhar com prazer para o dia de teu irmão no dia do seu desterro , nem alegrar-te sobre os filhos de judá no dia da sua ruína , nem falar arrogantemente no dia da tribulação
  filho  /  oséias oséias 1 1 palavra senhor veio oséias filho beri dia uzias jotão acaz ezequias rei judá dia jeroboão filho joás rei israel  /  1  /  oséias oséias 1 1 a palavra do senhor , que veio a oséias , filho de beri , nos dias de uzias , jotão , acaz e ezequias , reis de judá , e nos dias de jeroboão , filho de joás , rei de israel
  filho  /  29 todo oração todo súplica qualquer homem todo povo israel conhecer cada praga dor estender mão casa 30 ouvir céu lugar habitação perdoar dar cada conforme todo caminho segundo virar coração pois conhecer coração filho homem 31 temer andar caminho todo dia viver terra dar pai  /  6  /  29 toda oração e toda súplica que qualquer homem ou todo o teu povo israel fizer , conhecendo cada um a sua praga e a sua dor , e estendendo as suas mãos para esta casa , 30 ouve então do céu , lugar da tua habitação , e perdoa , e dá a cada um conforme todos os seus caminhos , segundo vires o seu coração ( pois tu , só tu conheces o coração dos filhos dos homens ) 31 para que te temam e andem nos teus caminhos todos os dias que viverem na terra que deste a nossos pais
  filho  /  porque judá escolher príncipe casa judá casa pai filho pai agradar mim rei sobre todo israel  /  1  /  porque a judá escolheu por príncipe , e na casa de judá a casa de meu pai , e entre os filhos de meu pai se agradou de mim para me fazer rei sobre todo o israel
  filho  /  3 tomar jazanias filho jeremias filho habazínias irmão todo filho todo casa recabitas 4 introduzir casa senhor câmara filho hanã filho jigdalias homem deus junto câmara príncipe ficar sobre câmara maséias filho salum guarda vestíbulo  /  2  /  3 então tomei a jazanias , filho de jeremias , filho de habazínias , e a seus irmãos , e a todos os seus filhos , e a toda a casa dos recabitas , 4 e os introduzi na casa do senhor , na câmara dos filhos de hanã , filho de jigdalias , homem de deus , a qual estava junto à câmara dos príncipes que ficava sobre a câmara de maséias , filho de salum , guarda do vestíbulo
  filho  /  8 ora abner filho ner chefe exército saul tomar is-bosete filho saul passar manaim 9 constituir rei sobre gileade sobre asuritas sobre jizrel sobre efraim sobre benjamim sobre todo israel  /  1  /  8 ora , abner , filho de ner , chefe do exército de saul , tomou a is-bosete , filho de saul , e o fez passar a manaim , 9 e o constituiu rei sobre gileade , sobre os asuritas , sobre jizrel , sobre efraim , sobre benjamim e sobre todo o israel
  filho  /  19 filho arão sacerdote campo arrabalde cidade cada cidade haver homem designado nome distribuir porção todo homem sacerdote todo arrolar levita  /  1  /  19 também para os filhos de arão os sacerdotes que estavam nos campos dos arrabaldes das suas cidades , em cada cidade , havia homens designados por nome para distribuírem porções a todo homem entre os sacerdotes e a todos os arrolados entre os levitas
  filho  /  22 tomar carneiro gordura cauda gordo gordura cobre entranha redenho fígado dois rim gordura haver coxo direito porque carneiro consagração 23 fogaça pão bolo pão azeitar coscorão cesto pão ázimo diante senhor 24 tudo pôr mão arão mão filho  /  3  /  22 depois tomarás do carneiro a gordura e a cauda gorda , a gordura que cobre as entranhas e o redenho do fígado , os dois rins com a gordura que houver neles e a coxa direita ( porque é carneiro de consagração ) , 23 e uma fogaça de pão , um bolo de pão azeitado e um coscorão do cesto dos pães ázimos que estará diante do senhor , 24 e tudo porás nas mãos de arão , e nas mãos de seus filhos
  filho  /  24 mefibosete filho saul descer encontrar rei cuidar pé barba lavar veste desde dia rei sair dia voltar paz  /  1  /  24 também mefibosete , filho de saul , desceu a encontrar-se com o rei , e não cuidara dos pés , nem fizera a barba , nem lavara as suas vestes desde o dia em que o rei saíra até o dia em que voltou em paz
  filho  /  33 assim dar moisés filho gade filho rúben meio tribo manassés filho josé reino siom rei amorreus reino ogue rei basã terra cidade respectivo território redor  /  2  /  33 assim deu moisés aos filhos de gade e aos filhos de rúben , e à meia tribo de manassés , filho de josé , o reino de siom , rei dos amorreus , e o reino de ogue , rei de basã , a terra com as suas cidades e os respectivos territórios ao redor
  filho  /  8 ver esaú filho canaã mau olho isaque pai 9 esaú ismael além mulher tomar mulher malate filho ismael filho abraão irmão nebaiote  /  1  /  8 vendo também esaú que as filhas de canaã eram más aos olhos de isaque seu pai , 9 foi-se esaú a ismael e , além das mulheres que já tinha , tomou por mulher a malate , filha de ismael , filho de abraão , irmã de nebaiote
  senhor  /  6 porquanto povo rejeitar água siloé correr brandamente alegrar rezim filho remalias 7 eis senhor vir sobre água rio forte impetuoso rei assírio todo glória  /  1  /  6 porquanto este povo rejeitou as águas de siloé , que correm brandamente , e se alegrou com rezim e com o filho de remalias , 7 eis que o senhor fará vir sobre eles as águas do rio , fortes e impetuosas , isto é , o rei da assíria , com toda a sua glória
  senhor  /  32 ainda assim confiar senhor vosso deus 33 adiante vós caminho noite fogo dia nuvem achar lugar onde dever acampar mostrar caminho onde haver andar  /  1  /  32 mas nem ainda assim confiastes no senhor vosso deus , 33 que ia adiante de vós no caminho , de noite no fogo e de dia na nuvem , para vos achar o lugar onde devíeis acampar , e para vos mostrar o caminho por onde havíeis de andar
  senhor  /  36 ora quantum homem moisés mandar espiar terra voltar murmurar todo congregação contra infamar terra 37 homem infamar terra morrer praga perante senhor  /  1  /  36 ora , quanto aos homens que moisés mandara a espiar a terra e que , voltando , fizeram murmurar toda a congregação contra ele , infamando a terra , 37 aqueles mesmos homens que infamaram a terra morreram de praga perante o senhor
  senhor  /  7 assim veio palavra senhor intermédio profeta jeú filho hanâni contra basa contra casa somente causa todo mal olho senhor modo provocá-lo ira obra mão tornar casa jeroboão porque exterminar casa jeroboão  /  1  /  7 assim veio também a palavra do senhor , por intermédio do profeta jeú , filho de hanâni , contra basa e contra a casa dele , não somente por causa de todo o mal que fizera aos olhos do senhor , de modo a provocá-lo à ira com a obra de suas mãos , tornando-se como a casa de jeroboão , mas também porque exterminara a casa de jeroboão
  senhor  /  3 graça damo deus pai senhor jesus cristo orar sempre vós 4 desde ouvir falar vosso fé cristo jesus amor todo santo 5 causa esperança reservado céu antes ouvir palavra verdade evangelho 6 chegar vós todo mundo frutificar crescendo assim vós desde dia ouvir conhecer graça deus verdade 7 segundo aprender epafras amado conservo nó fiel ministro cristo  /  1  /  3 graças damos a deus , pai de nosso senhor jesus cristo , orando sempre por vós , 4 desde que ouvimos falar da vossa fé em cristo jesus , e do amor que tendes a todos os santos , 5 por causa da esperança que vos está reservada nos céus , da qual antes ouvistes pela palavra da verdade do evangelho , 6 que já chegou a vós , como também está em todo o mundo , frutificando e crescendo , assim como entre vós desde o dia em que ouvistes e conhecestes a graça de deus em verdade , 7 segundo aprendestes de epafras , nosso amado conservo , que por nós é fiel ministro de cristo
  senhor  /  miquéias 4 1 último dia acontecer monte casa senhor estabelecido alto monte exalçar sobre outeiro concorrer povo  /  1  /  miquéias 4 1 mas nos últimos dias acontecerá que o monte da casa do senhor será estabelecido como o mais alto dos montes , e se exalçará sobre os outeiros , e a ele concorram os povos
  senhor  /  8 porque senhor amar porque querer guardar juramento vosso pai mão forte resgatar casa servidão mão faraó rei egito  /  1  /  8 mas , porque o senhor vos amou , e porque quis guardar o juramento que fizera a vossos pais , foi que vos tirou com mão forte e vos resgatou da casa da servidão , da mão de faraó , rei do egito
  senhor  /  17 senhor vir sobre ti sobre povo sobre casa pai dia tal nunca vir desde dia efraim separar judá vir rei assírio  /  3  /  17 mas o senhor fará vir sobre ti , e sobre o teu povo e sobre a casa de teu pai , dias tais , quais nunca vieram , desde o dia em que efraim se separou de judá , isto é , fará vir o rei da assíria
  senhor  /  22 tomar carneiro gordura cauda gordo gordura cobre entranha redenho fígado dois rim gordura haver coxo direito porque carneiro consagração 23 fogaça pão bolo pão azeitar coscorão cesto pão ázimo diante senhor 24 tudo pôr mão arão mão filho  /  4  /  22 depois tomarás do carneiro a gordura e a cauda gorda , a gordura que cobre as entranhas e o redenho do fígado , os dois rins com a gordura que houver neles e a coxa direita ( porque é carneiro de consagração ) , 23 e uma fogaça de pão , um bolo de pão azeitado e um coscorão do cesto dos pães ázimos que estará diante do senhor , 24 e tudo porás nas mãos de arão , e nas mãos de seus filhos
  senhor  /  18 senhor deus pai abraão isaque israel conserva sempre coração povo disposição pensamento encaminhar coração ti  /  1  /  18 o senhor , deus de nossos pais abraão , isaque e israel , conserva para sempre no coração do teu povo estas disposições e estes pensamentos , e encaminha o seu coração para ti
  senhor  /  24 vós diligentemente ouvir dizer senhor introduzir carga porta cidade dia sábado santificar dia sábado nele trabalho algum 25 entrar porta cidade rei príncipe assentir sobre trono davi andar carro montado cavalo príncipe homem judá morador jerusalém  /  4  /  24 mas se vós diligentemente me ouvirdes , diz o senhor , não introduzindo cargas pelas portas desta cidade no dia de sábado , e santificardes o dia de sábado , não fazendo nele trabalho algum , 25 então entrarão pelas portas desta cidade reis e príncipes , que se assentem sobre o trono de davi , andando em carros e montados em cavalos , eles e seus príncipes , os homens de judá , e os moradores de jerusalém
  senhor  /  espírito sobre ti palavra pus boca desviar boca boca filho boca filho filho dizer senhor desde agora todo sempre  /  5  /  o meu espírito , que está sobre ti , e as minhas palavras , que pus na tua boca , não se desviarão da tua boca , nem da boca dos teus filhos , nem da boca dos filhos dos teus filhos , diz o senhor , desde agora e para todo o sempre
  senhor  /  ó senhor deus abraão isaque israel manifestado hoje deus israel servo conforme palavra feito todo coisa  /  1  /  ó senhor , deus de abraão , de isaque , e de israel , seja manifestado hoje que tu és deus em israel , e que eu sou teu servo , e que conforme a tua palavra tenho feito todas estas coisas
  senhor  /  13 estremecer céu terra mover lugar causa furor senhor exército causa dia ardente ira  /  1  /  13 pelo que farei estremecer o céu , e a terra se movera do seu lugar , por causa do furor do senhor dos exércitos , e por causa do dia da sua ardente ira
  senhor  /  19 suceder levantar olho céu ver sol lua estrelo todo exército céu levado inclinar perante prestar culto coisa senhor vosso deus repartir todo povo debaixo todo céu  /  2  /  19 e para que não suceda que , levantando os olhos para o céu , e vendo o sol , a lua e as estrelas , todo esse exército do céu , sejais levados a vos inclinardes perante eles , prestando culto a essas coisas que o senhor vosso deus repartiu a todos os povos debaixo de todo o céu
  senhor  /  40 guardar estatuto mandamento ordenar hoje vá bem ti filho ti prolongar dia terra senhor deus dar todo sempre  /  2  /  40 e guardarás os seus estatutos e os seus mandamentos , que eu te ordeno hoje , para que te vá bem a ti , e a teus filhos depois de ti , e para que prolongues os dias na terra que o senhor teu deus te dá , para todo o sempre
  senhor  /  jeremias 28 1 suceder ano princípio reinado zedequias rei judá ano quarto mês quinto hananias filho azur profeta gibeão falar casa senhor presença sacerdote todo povo dizer  /  3  /  jeremias 28 1 e sucedeu no mesmo ano , no princípio do reinado de zedequias , rei de judá , no ano quarto , no mês quinto , que hananias , filho de azur , o profeta de gibeão , me falou , na casa do senhor , na presença dos sacerdotes e de todo o povo dizendo
  senhor  /  servo vir terra mui distante causa nome senhor deus porquanto ouvir fama tudo egito 10 tudo dois rei amorreus além jordão siom rei hesbom ogue rei basã astarote  /  1  /  teus servos vieram duma terra mui distante , por causa do nome do senhor teu deus , porquanto ouvimos a sua fama , e tudo o que fez no egito , 10 e tudo o que fez aos dois reis dos amorreus , que estavam além do jordão , a siom , rei de hesbom , e a ogue , rei de basã , que estava em astarote
  senhor  /  9 dia dizer senhor desfalecer coração rei coração príncipe  /  1  /  9 naquele dia , diz o senhor , desfalecerá o coração do rei e o coração dos príncipes
  senhor  /  12 acontecer haver senhor acabado todo obra monte sião jerusalém castigar rei assírio arrogância coração pombo altivez olho  /  1  /  12 por isso acontecerá que , havendo o senhor acabado toda a sua obra no monte sião e em jerusalém , então castigará o rei da assíria pela arrogância do seu coração e a pomba da altivez dos seus olhos
  senhor  /  2 meio ti algum cidade dar senhor deus encontrado algum homem mulher feito mau olho senhor deus transgredir pacto 3 servido outro deus adorar sol lua qualquer astro exército céu ordenar 4 denunciado ouvir inquirir bem  /  1  /  2 se no meio de ti , em alguma das tuas cidades que te dá o senhor teu deus , for encontrado algum homem ou mulher que tenha feito o que é mau aos olhos do senhor teu deus , transgredindo o seu pacto , 3 que tenha ido e servido a outros deuses , adorando-os , a eles , ou ao sol , ou à lua , ou a qualquer astro do exército do céu ( o que não ordenei ) , 4 e isso te for denunciado , e o ouvires , então o inquirirás bem
  senhor  /  38 senhor entregar moisés monte sinai dia ordenar filho israel oferecer oferta senhor deserto sinai  /  1  /  38 a qual o senhor entregou a moisés no monte sinai , no dia em que este estava ordenando aos filhos de israel que oferecessem as suas ofertas ao senhor , no deserto de sinai
  senhor  /  7 dizer senhor entregar zedequias rei judá servo povo cidade restar peste espada fome sim entregá-los-ei mão nabucodonosor rei babilônio mão inimigo mão procurar vida  /  3  /  7 e depois disso , diz o senhor , entregarei zedequias , rei de judá , e seus servos , e o povo , e os que desta cidade restarem da peste , e da espada , e da fome , sim entregá-los-ei na mão de nabucodonosor , rei de babilônia , e na mão de seus inimigos , e na mão dos que procuram tirar-lhes a vida
  senhor  /  jeremias 8 1 tempo dizer senhor sepultura osso rei judá osso príncipe osso sacerdote osso profeta osso habitante jerusalém  /  7  /  jeremias 8 1 naquele tempo , diz o senhor , tirarão para fora das suas sepulturas os ossos dos reis de judá , e os ossos dos seus príncipes , e os ossos dos sacerdotes , e os ossos dos profetas , e os ossos dos habitantes de jerusalém
  senhor  /  2 ano primeiro reinado daniel entender por+os livro número ano falar senhor profeta jeremias haver durar desolação jerusalém setenta ano  /  1  /  2 no ano primeiro do seu reinado , eu , daniel , entendi pelos livros que o número de anos , de que falara o senhor ao profeta jeremias , que haviam de durar as desolações de jerusalém , era de setenta anos
  senhor  /  34 nó sacerdote levita povo lançar sorte acerca oferta lenha haver trazer casa deus segundo casa paterno tempo determinado ano ano queimar sobre altar senhor deus escrito lei  /  4  /  34 e nós , os sacerdotes , os levitas e o povo lançamos sortes acerca da oferta da lenha que havíamos de trazer à casa do nosso deus , segundo as nossas casas paternas , a tempos determinados , de ano em ano , para se queimar sobre o altar do senhor nosso deus , como está escrito na lei
  senhor  /  7 povo servir senhor todo dia josué todo dia ancião sobreviver josué visto todo grande obra senhor favor israel  /  1  /  7 o povo serviu ao senhor todos os dias de josué , e todos os dias dos anciãos que sobreviveram a josué e que tinham visto toda aquela grande obra do senhor , a qual ele fizera a favor de israel
  senhor  /  ezequiel 40 1 ano vinte cinco cativeiro princípio ano décimo dia mês ano catorze cidade conquistado dia veio sobre mim mão senhor 2 visão deus levar terra israel pôr sobre monte alto sobre haver edifício cidade banda sul  /  32  /  ezequiel 40 1 no ano vinte e cinco do nosso cativeiro , no princípio do ano , no décimo dia do mês , no ano catorze depois que a cidade foi conquistada , naquele mesmo dia veio sobre mim a mão do senhor , 2 e em visões de deus me levou à terra de israel , e me pôs sobre um monte muito alto , sobre o qual havia como que um edifício de cidade para a banda do sul
  senhor  /  rei conforme palavra memucã 22 enviar carta todo província rei cada província segundo modo escrever cada povo segundo língua mandar cada homem fossar senhor casa falar segundo língua povo  /  1  /  e o rei fez conforme a palavra de memucã , 22 enviando cartas a todas as províncias do rei , a cada província segundo o seu modo de escrever e a cada povo segundo a sua língua , mandando que cada homem fosse senhor em sua casa , e que falasse segundo a língua de seu povo
  senhor  /  porque senhor vê vê homem pois homem olha diante olho porém senhor olha coração  /  1  /  porque o senhor não vê como vê o homem , pois o homem olha para o que está diante dos olhos , porém o senhor olha para o coração
  senhor  /  20 perante senhor deus comer casa ano ano lugar senhor escolher  /  1  /  20 perante o senhor teu deus os comerás , tu e a tua casa , de ano em ano , no lugar que o senhor escolher
  senhor  /  59 palavra suplicar perante senhor perto diante senhor deus dia noite defender causa servo causa povo israel cada dia exigir 60 todo povo terra saber senhor deus outro  /  5  /  59 e que estas minhas palavras , com que supliquei perante o senhor , estejam perto , diante do senhor nosso deus , de dia e de noite , para que defenda ele a causa do seu servo e a causa do seu povo israel , como cada dia o exigir , 60 para que todos os povos da terra , saibam que o senhor é deus , e que não há outro
  senhor  /  josué josué 1 1 morte moisés servo senhor falar senhor josué filho servidor moisés dizer  /  1  /  josué josué 1 1 depois da morte de moisés , servo do senhor , falou o senhor a josué , filho de num , servidor de moisés , dizendo
  senhor  /  40 pois santo monte monte alto israel dizer senhor deus ali servir todo casa israel todo terra  /  3  /  40 pois no meu santo monte , no monte alto de israel , diz o senhor deus , ali me servirá toda a casa de israel , toda ela , na terra
  senhor  /  sofonias sofonias 1 1 palavra senhor veio sofonias filho cuche filho gedalias filho amar filho ezequias dia josias filho amom rei judá  /  1  /  ) sofonias sofonias 1 1 a palavra do senhor que veio a sofonias , filho de cuche , filho de gedalias , filho de amarias , filho de ezequias , nos dias de josias , filho de amom , rei de judá
